"","Class","Extraction","Ratio","Smallest"
"1","Cer/SM","I",0.070048925,"T"
"2","Cer/SM","CTRL",0.080756308,"T"
"3","Cer/SM","V",0.084890704,"T"
"4","Cer/SM","II",0.085193097,"T"
"5","Cer/SM","IV",0.089204139,"F"
"6","Cer/SM","III",0.089247187,"F"
"7","Cer/SM","VII",0.091269545,"F"
"8","Cer/SM","VIII",0.093219004,"F"
"9","Cer/SM","VI",0.096488113,"F"
"10","DG/TG","IV",1.431318254,"T"
"11","DG/TG","V",1.436173091,"T"
"12","DG/TG","III",1.459927557,"T"
"13","DG/TG","VI",1.465824379,"T"
"14","DG/TG","II",1.47357973,"F"
"15","DG/TG","VII",1.499865234,"F"
"16","DG/TG","CTRL",1.511855024,"F"
"17","DG/TG","VIII",1.532392152,"F"
"18","DG/TG","I",1.584412031,"F"
"19","LPC/PC","VII",0.703631464,"T"
"20","LPC/PC","III",0.719433647,"T"
"21","LPC/PC","VIII",0.736611658,"T"
"22","LPC/PC","IV",0.739848817,"T"
"23","LPC/PC","CTRL",1.20960623,"F"
"24","LPC/PC","II",1.21403433,"F"
"25","LPC/PC","VI",1.23783895,"F"
"26","LPC/PC","V",1.249812856,"F"
"27","LPC/PC","I",1.433597404,"F"
"28","LPE/PE","IV",0.084281001,"T"
"29","LPE/PE","VII",0.085629698,"T"
"30","LPE/PE","VIII",0.087797751,"T"
"31","LPE/PE","III",0.090433013,"T"
"32","LPE/PE","II",0.15532852,"F"
"33","LPE/PE","V",0.164283811,"F"
"34","LPE/PE","VI",0.164780534,"F"
"35","LPE/PE","CTRL",0.185169868,"F"
"36","LPE/PE","I",0.193783167,"F"
